92, 486, 433, 199, 220
93, 430, 198, 486, 199
94, 486, 436, 222, 201
95, 436, 222, 487, 486
96, 488, 486, 45, 201
97, 220, 486, 487, 221
98, 487, 486, 433, 71
99, 437, 126, 125, 116
100, 489, 461, 75, 463
101, 490, 489, 461, 75
102, 489, 490, 85, 75
103, 490, 461, 233, 232
104, 489, 233, 490, 461
105, 491, 123, 114, 124
106, 150, 492, 149, 493
107, 492, 149, 493, 442
108, 440, 442, 159, 494
109, 442, 441, 159, 149
110, 442, 413, 393, 414
111, 442, 373, 394, 393
112, 442, 139, 495, 496
113, 497, 126, 116, 117
114, 373, 442, 496, 372
115, 457, 498, 76, 77
116, 64, 465, 464, 63
117, 484, 129, 139, 138
118, 457, 498, 230, 231
119, 456, 457, 210, 458
120, 188, 66, 9, 456
121, 499, 108, 500, 118
122, 483, 499, 332, 118
123, 499, 292, 501, 107
124, 476, 334, 483, 499
125, 483, 499, 334, 333
126, 435, 502, 470, 224
127, 438, 203, 47, 48
128, 438, 472, 205, 185
129, 434, 435, 436, 202
130, 46, 434, 488, 202
131, 409, 503, 504, 505
132, 434, 438, 184, 11
133, 432, 506, 218, 239
134, 484, 129, 138, 128
135, 496, 507, 129, 350
136, 508, 484, 496, 352
137, 496, 492, 442, 139
138, 484, 496, 373, 495
139, 508, 351, 496, 129
140, 509, 447, 404, 405
141, 42, 452, 504, 177
142, 451, 161, 452, 510
143, 451, 505, 452, 161
144, 452, 22, 177, 176
145, 22, 161, 510, 452
146, 511, 163, 14, 153
147, 511, 512, 153, 180
148, 511, 513, 447, 426
149, 511, 25, 513, 426
150, 511, 163, 25, 24
151, 440, 494, 416, 415
152, 440, 172, 19, 20
153, 514, 471, 494, 158
154, 514, 171, 471, 158
155, 171, 172, 158, 514
156, 515, 361, 381, 360
157, 416, 440, 172, 514
158, 501, 97, 516, 272
159, 501, 516, 107, 293
160, 499, 313, 312, 292
161, 499, 107, 313, 292
162, 499, 501, 108, 107
163, 517, 127, 136, 126
164, 490, 232, 498, 76
165, 490, 75, 461, 76
166, 489, 518, 256, 519
167, 489, 518, 520, 255
168, 521, 522, 523, 111
169, 521, 522, 524, 326
170, 523, 522, 305, 306
171, 522, 120, 477, 525
172, 524, 326, 522, 327
173, 506, 465, 237, 526
174, 506, 465, 216, 237
175, 506, 216, 465, 527
176, 506, 217, 218, 238
177, 527, 431, 5, 63
178, 513, 163, 154, 15
179, 446, 447, 513, 425
180, 513, 447, 426, 425
181, 513, 426, 25, 26
182, 511, 163, 513, 25
183, 164, 26, 446, 513
184, 528, 482, 301, 103
185, 528, 454, 112, 122
186, 112, 528, 482, 454
187, 122, 528, 454, 529
188, 528, 530, 322, 343
189, 522, 121, 477, 120
190, 518, 95, 531, 94
191, 489, 256, 518, 255
192, 529, 491, 364, 123
193, 344, 529, 345, 454
194, 529, 491, 113, 343
195, 511, 447, 512, 427
196, 509, 447, 144, 404
197, 509, 384, 404, 383
198, 447, 448, 404, 425
199, 427, 180, 24, 428
200, 447, 512, 406, 143
201, 511, 447, 513, 153
202, 447, 448, 144, 404
203, 509, 144, 447, 143
204, 416, 440, 415, 172
205, 441, 493, 150, 149
206, 532, 253, 498, 86
207, 478, 524, 533, 131
208, 441, 493, 413, 412
209, 527, 193, 5, 194
210, 440, 173, 174, 20
211, 441, 21, 175, 173
212, 441, 493, 160, 150
213, 509, 143, 133, 134
214, 441, 173, 20, 21
215, 330, 534, 350, 351
216, 534, 508, 119, 129
217, 460, 213, 463, 212
